3/6/22 12:44 AM
Project Statistics

                 	Segments	Words	Characters (without spaces)	Characters (including spaces)	#Files	
Total:           	     423	19476	                      94719	                       134794	   423	
Remaining:       	       2	   22	                         97	                          154	     2	
Unique:          	     423	19476	                      94719	                       134794	   423	
Unique Remaining:	       2	   22	                         97	                          154	     2	


Individual File Statistics:

File Name                           	Total Segments	Remaining Segments	Unique Segments	Unique Remaining Segments	Total Words	Remaining Words	Unique Words	Unique Remaining Words	Total Characters (without spaces)	Remaining Characters (without spaces)	Unique Characters (without spaces)	Unique Remaining Characters (without spaces)	Total Characters (including spaces)	Remaining Characters (including spaces)	Unique Characters (including spaces)	Unique Remaining Characters (including spaces)	
10_الارقام/246.txt                  	             1	                 0	              1	                        0	         15	              0	          15	                     0	                               62	                                    0	                                62	                                           0	                                 91	                                      0	                                  91	                                             0	
10_الارقام/247.txt                  	             1	                 0	              1	                        0	         47	              0	          47	                     0	                              146	                                    0	                               146	                                           0	                                243	                                      0	                                 243	                                             0	
10_الارقام/249.txt                  	             1	                 0	              1	                        0	         17	              0	          17	                     0	                               61	                                    0	                                61	                                           0	                                 95	                                      0	                                  95	                                             0	
10_الارقام/250.txt                  	             1	                 0	              1	                        0	         46	              0	          46	                     0	                              148	                                    0	                               148	                                           0	                                243	                                      0	                                 243	                                             0	
10_الارقام/252.txt                  	             1	                 0	              1	                        0	         16	              0	          16	                     0	                               61	                                    0	                                61	                                           0	                                 92	                                      0	                                  92	                                             0	
10_الارقام/253.txt                  	             1	                 0	              1	                        0	         44	              0	          44	                     0	                              150	                                    0	                               150	                                           0	                                241	                                      0	                                 241	                                             0	
10_الارقام/255.txt                  	             1	                 0	              1	                        0	         22	              0	          22	                     0	                               64	                                    0	                                64	                                           0	                                 92	                                      0	                                  92	                                             0	
10_الارقام/256.txt                  	             1	                 0	              1	                        0	         43	              0	          43	                     0	                              140	                                    0	                               140	                                           0	                                228	                                      0	                                 228	                                             0	
10_الارقام/258.txt                  	             1	                 0	              1	                        0	         17	              0	          17	                     0	                               60	                                    0	                                60	                                           0	                                 93	                                      0	                                  93	                                             0	
10_الارقام/259.txt                  	             1	                 0	              1	                        0	         41	              0	          41	                     0	                              159	                                    0	                               159	                                           0	                                244	                                      0	                                 244	                                             0	
10_الارقام/261.txt                  	             1	                 0	              1	                        0	         10	              0	          10	                     0	                               67	                                    0	                                67	                                           0	                                 86	                                      0	                                  86	                                             0	
10_الارقام/262.txt                  	             1	                 0	              1	                        0	         18	              0	          18	                     0	                               60	                                    0	                                60	                                           0	                                 96	                                      0	                                  96	                                             0	
10_الارقام/263.txt                  	             1	                 0	              1	                        0	         10	              0	          10	                     0	                               67	                                    0	                                67	                                           0	                                 86	                                      0	                                  86	                                             0	
10_الارقام/264.txt                  	             1	                 0	              1	                        0	         10	              0	          10	                     0	                               67	                                    0	                                67	                                           0	                                 86	                                      0	                                  86	                                             0	
10_الارقام/265.txt                  	             1	                 0	              1	                        0	         11	              0	          11	                     0	                               66	                                    0	                                66	                                           0	                                 87	                                      0	                                  87	                                             0	
10_الارقام/266.txt                  	             1	                 0	              1	                        0	         20	              0	          20	                     0	                               66	                                    0	                                66	                                           0	                                 90	                                      0	                                  90	                                             0	
10_الارقام/267.txt                  	             1	                 1	              1	                        1	         22	             22	          22	                    22	                               56	                                   56	                                56	                                          56	                                100	                                    100	                                 100	                                           100	
10_الارقام/268.txt                  	             1	                 0	              1	                        0	         20	              0	          20	                     0	                               57	                                    0	                                57	                                           0	                                 96	                                      0	                                  96	                                             0	
10_الارقام/269.txt                  	             1	                 0	              1	                        0	         13	              0	          13	                     0	                               63	                                    0	                                63	                                           0	                                 88	                                      0	                                  88	                                             0	
10_الارقام/270.txt                  	             1	                 0	              1	                        0	         19	              0	          19	                     0	                               61	                                    0	                                61	                                           0	                                 90	                                      0	                                  90	                                             0	
10_الارقام/271.txt                  	             1	                 0	              1	                        0	         22	              0	          22	                     0	                               56	                                    0	                                56	                                           0	                                100	                                      0	                                 100	                                             0	
10_الارقام/272.txt                  	             1	                 0	              1	                        0	         24	              0	          24	                     0	                               54	                                    0	                                54	                                           0	                                102	                                      0	                                 102	                                             0	
10_الارقام/273.txt                  	             1	                 0	              1	                        0	         15	              0	          15	                     0	                               61	                                    0	                                61	                                           0	                                 90	                                      0	                                  90	                                             0	
11_مقاطع عامة اثنين/275.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              126	                                    0	                               126	                                           0	                                191	                                      0	                                 191	                                             0	
11_مقاطع عامة اثنين/276.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              126	                                    0	                               126	                                           0	                                191	                                      0	                                 191	                                             0	
11_مقاطع عامة اثنين/277.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              189	                                    0	                               189	                                           0	                                257	                                      0	                                 257	                                             0	
11_مقاطع عامة اثنين/278.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              132	                                    0	                               132	                                           0	                                197	                                      0	                                 197	                                             0	
11_مقاطع عامة اثنين/279.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              135	                                    0	                               135	                                           0	                                200	                                      0	                                 200	                                             0	
11_مقاطع عامة اثنين/280.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              174	                                    0	                               174	                                           0	                                242	                                      0	                                 242	                                             0	
11_مقاطع عامة اثنين/281.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              129	                                    0	                               129	                                           0	                                194	                                      0	                                 194	                                             0	
11_مقاطع عامة اثنين/282.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              142	                                    0	                               142	                                           0	                                208	                                      0	                                 208	                                             0	
11_مقاطع عامة اثنين/283.txt         	             1	                 0	              1	                        0	         33	              0	          33	                     0	                              153	                                    0	                               153	                                           0	                                212	                                      0	                                 212	                                             0	
11_مقاطع عامة اثنين/284.txt         	             1	                 0	              1	                        0	         36	              0	          36	                     0	                              154	                                    0	                               154	                                           0	                                220	                                      0	                                 220	                                             0	
11_مقاطع عامة اثنين/285.txt         	             1	                 0	              1	                        0	         28	              0	          28	                     0	                              146	                                    0	                               146	                                           0	                                199	                                      0	                                 199	                                             0	
12_اساسي المرحلة الثانية/286.txt    	             1	                 0	              1	                        0	         35	              0	          35	                     0	                              188	                                    0	                               188	                                           0	                                261	                                      0	                                 261	                                             0	
12_اساسي المرحلة الثانية/287.txt    	             1	                 0	              1	                        0	         42	              0	          42	                     0	                              182	                                    0	                               182	                                           0	                                269	                                      0	                                 269	                                             0	
12_اساسي المرحلة الثانية/288.txt    	             1	                 0	              1	                        0	         40	              0	          40	                     0	                              191	                                    0	                               191	                                           0	                                275	                                      0	                                 275	                                             0	
